"","DxK","DxKP","ExK","ExKP","IK","IKxD","IKxE","IKxEP","KL","KP","KxD","KxE","KxEP","KxG","KxN","KxP","KxQ","KxS","LKxD","LKxE","LKxEP","MKxE","PKxE","TKxE","VK","VKxE"
"positive regulation of DNA metabolic process",3.65600878085029,0.446661473399646,5.34328684734851,0.00864772484997259,4.98367973934896,0.97549403110562,1.1931402151847,0.149016190109606,5.96680520666275,0.715441533116761,3.52076531714813,9.55694320222927,0.417739300989055,1.509321611317,0.336178833461767,3.28977184522507,1.43540995038012,2.98366442215985,0.183886984033935,1.50400136355749,0.119245500632927,0.128993295359484,1.25186442080291,2.87455939476776,1.08390524160561,1.26334555445866e-06
"positive regulation of gene expression",0.910590930051964,0.420857306247636,1.10918196385595,4.34257884679025e-05,3.96849512292697,0.14328936370755,2.30469712682555,0.149016190109606,1.41021090660706,1.33752219610962e-13,0.014596004531361,1.56772372436429,0.873385228822238,1.69977049253223,0.987306865736659,0.989472705278995,0.543172203598584,1.11531332848005,0.182980886435108,0.00267246963408231,0.4293649203678,0.14558863161486,0.0966585193909917,0.427294921129835,0.830896551122015,1.26334555445866e-06
"positive regulation of viral genome replication",0.0344461582347367,0.0964188020396532,0.321675608358186,0.00864772484997259,0.318976601182141,NA,0.182772297661856,0.148095675585213,0.0421586192747441,1.33752219610962e-13,3.07568796223611e-06,0.877711727726037,0.0314678906112111,0.945047570698942,0.00408062747321727,0.0528481903885284,0.0336502811861938,0.0840129421176899,NA,0.00267246963408231,NA,1.46672122837332,0.0741442853844057,0.802852677253066,0.084261811877474,1.26334555445866e-06
"positive regulation of viral process",0.269250486759772,0.0818596143054556,0.114417652958566,0.00864772484997259,0.362190026846931,NA,0.330098137980406,0.140538890602459,0.108596869356667,1.33752219610962e-13,3.07568796223611e-06,1.13303254240332,0.0446798159955156,0.795368481248692,0.00936336160058413,0.587790671307251,0.0750646946276602,0.48944518188482,0.151126141431272,0.060669929326319,NA,1.46672122837332,0.0966585193909917,0.985329246229289,0.46533242059499,1.26334555445866e-06
"protein autophosphorylation",3.12454198560384,10.0857352482414,1.63805749528003e-08,4.34257884679025e-05,0.00840025457499977,NA,0.0261719522082615,0.0553133599181374,2.98876604461992e-08,0.761003360930635,3.07568796223611e-06,2.60594068604379e-11,0.0300658895722145,0.143743858912945,7.81195514361514e-05,1.63642882767796e-05,0.0269705087995689,1.65356774261522e-06,NA,0.631415939629146,0.283404797614608,NA,0.00406389786060367,0.110017872033553,1.84689372710703e-06,1.26334555445866e-06
"protein localization to chromosome",1.02512363662931,0.305563895540394,1.82765158317519,0.00864772484997259,0.851021187216937,0.537641662416979,0.182772297661856,0.0712766226316006,1.92620936574333,0.0224142436794162,1.65508858009787,4.17941396508089,0.0446798159955156,0.85572533038398,0.141173397223715,1.15227580019691,0.0250479550846695,0.141616799014759,0.0798111753732224,0.407988000762225,0.30985821345964,0.129752188819851,0.0927355614450281,0.633441106727478,1.06611639470733,0.0125694116465953
"protein localization to chromosome, telomeric region",0.429375242771851,0.0946115826436314,1.77228451236497,0.00864772484997259,1.11687109816462,0.360641356306074,0.570960739136243,0.145519385099859,1.2849909253362,1.33752219610962e-13,1.54751100540114,1.83861084510138,0.0300658895722145,0.223469640883838,0.554265448633695,0.554055114750523,0.0269705087995689,0.252140928472043,0.182980886435108,0.611053328069181,NA,NA,0.0721380915581639,0.382706498877212,0.437393835504494,1.26334555445866e-06
"protein localization to nucleolus",1.72598212030143,0.111940224876726,0.148642061161742,NA,0.122097859871618,NA,0.0344431513101688,NA,0.038030214021286,1.33752219610962e-13,0.695000971897863,0.10915165365174,NA,0.155953648877475,0.00936336160058413,0.167329507955472,0.133162237100587,1.81093914240604,NA,NA,NA,NA,0.0955814472537565,0.531612687935329,1.84689372710703e-06,1.26334555445866e-06
"protein localization to nucleus",3.89757189342409,0.208957683856226,1.14267584694239,0.00864772484997259,0.458711624389171,0.422503948734521,0.126115577464069,0.124143399075092,1.52329262221931,1.33752219610962e-13,0.588903843571521,1.80036079674622,0.442634523025142,2.2938978157023,0.00152817412095069,0.626881931969858,2.90438261564856,1.06800365855027,0.0722410970037305,0.00340312740391036,NA,0.143269822419169,0.0409389126600198,0.177974250818791,0.340247266214624,1.26334555445866e-06
"protein sumoylation",2.44546603429618,0.165016497430126,4.8140799902536,1.53949066735024,2.80940850704146,0.426644302560289,0.0516944370929844,NA,4.50671765354457,1.27039146055667,1.68859590804975,2.73047947671131,0.0446798159955156,4.24074207864995,0.863527553290052,1.57118493898257,2.82718960093191,3.84152851244981,NA,0.357615624481536,NA,NA,0.744325456086075,1.09212364989899,1.09638570709233,1.26334555445866e-06
"regulation of binding",1.37643304452718,1.24054445624148,1.63805749528003e-08,0.00864772484997259,0.531075927155254,0.163198575889382,0.261918020292159,0.0529107297479675,2.98876604461992e-08,1.33752219610962e-13,0.0265033985685238,0.131268082881656,0.492289376741854,1.7735457817654,0.266717052138279,0.238181991361486,0.00148663847359321,0.642446270393954,0.183886984033935,0.00340312740391036,0.54311230693319,0.0774227566645134,0.0586201479135406,0.125953584846592,0.732745293047605,0.191434262167462
"regulation of cardiac muscle contraction",2.53385857528371e-06,NA,1.63805749528003e-08,0.00864772484997259,7.29621664521275e-07,NA,NA,NA,2.98876604461992e-08,1.33752219610962e-13,3.07568796223611e-06,2.60594068604379e-11,NA,1.509321611317,NA,NA,NA,1.65356774261522e-06,NA,0.00267246963408231,NA,NA,NA,NA,1.84689372710703e-06,1.26334555445866e-06
"regulation of chromosome organization",3.71116469424921,1.55607243226617,6.04300864247604,0.0345055719969323,2.30074755597736,0.999792912106788,0.175849575821231,NA,4.43462940822795,2.20808843830383,4.02282458070577,6.8865261229309,0.0446798159955156,0.474866449151822,0.926241269491036,1.49798707495681,0.781205301157465,1.36953462126871,0.308073914020641,1.50400136355749,0.359218438782465,0.14558863161486,0.0966585193909917,0.942834559747609,2.10393058048451,0.0199206218730161
"regulation of intracellular steroid hormone receptor signaling pathway",0.813579870108683,0.111940224876726,1.43793880111736,0.768848029312443,1.95301809271515,0.51601973966659,0.668280714737721,0.140411250938503,0.304534919005934,1.33752219610962e-13,0.672354576438185,1.11427669581328,0.63047783930268,0.63062211932989,0.206484234528313,0.425945973135047,0.0250479550846695,0.332927451218783,0.183886984033935,0.00763465948241955,NA,NA,0.548681915407163,0.502956091656223,1.08043215741288,0.588304305146661
"regulation of mitotic cell cycle phase transition",2.71876647514504,0.776457974186324,0.0740716516651689,0.00864772484997259,0.733662051154813,0.721159336969162,0.0362323975997172,0.0114909423420987,0.159577014941951,1.33752219610962e-13,1.38875083521472,2.5214611131277,0.0446798159955156,0.225035620462093,0.00936336160058413,0.110410551886094,0.176105468224389,0.662042257556316,0.183886984033935,0.631415939629146,0.351608511143547,0.143269822419169,NA,1.72195178577181,0.153838104937418,1.26334555445866e-06
"regulation of mRNA metabolic process",2.99020012558634,0.204791543883955,3.97751824061015,0.00864772484997259,0.698607988135495,0.782757362801297,0.0362323975997172,0.148095675585213,1.2849909253362,1.33752219610962e-13,2.37441399666058,2.56116532098545,0.335964762804073,4.27666454910387,0.698426396645364,1.26902334438322,0.471363495633295,4.03722059636304,0.408178601730447,0.709649242386246,0.569197080389187,0.122494988800956,0.250372242523106,0.0351524631135628,1.8040042764982,1.26334555445866e-06
"regulation of ossification",0.665655484548138,1.55607243226617,1.63805749528003e-08,0.00864772484997259,7.29621664521275e-07,NA,0.00643950994515714,NA,2.98876604461992e-08,1.33752219610962e-13,3.07568796223611e-06,2.60594068604379e-11,0.0143134413592909,0.099767860029571,0.00936336160058413,0.341922793501669,0.0269705087995689,0.105677347942537,0.164167705117848,NA,NA,0.128041816449835,NA,0.130426126949154,1.84689372710703e-06,1.26334555445866e-06
"regulation of response to DNA damage stimulus",5.25269892397374,0.111940224876726,3.04861492374028,0.00864772484997259,5.12244118131671,1.45575074439341,0.87831852936218,0.130496332002318,3.50184923374814,0.17392865322058,2.12011056797951,9.03107864227066,0.995058763644202,1.50151079819992,0.858537151250441,3.71796880064646,0.471363495633295,3.87709994464337,0.182980886435108,0.485944451156388,0.292773872241056,0.14558863161486,1.4686512736067,0.876518933779107,0.953473903850516,1.26334555445866e-06
